construction,event_throughput_raw,event_throughput_normalized,cpu_cores_per_event_raw,cpu_cores_per_event_normalized,memory_mb_per_event_raw,memory_mb_per_event_normalized,cpu_utilization_raw,cpu_utilization_normalized,memory_occupancy_raw,memory_occupancy_normalized,total_turnaround_time_raw,total_turnaround_time_normalized,wall_time_per_event_raw,wall_time_per_event_normalized,network_transfer_mb_per_event_raw,network_transfer_mb_per_event_normalized,total_write_remote_mb_raw,total_write_remote_mb_normalized,weighted_score
1,0.0021791877259169025,0.0,0.01088,0.0,10.88,0.0,0.26403985507246375,0.0,0.2977807971014493,0.0,87044.2421875,1.0,7.3877133984375,0.5986094472092104,0.44921875,1.0,449218.75,1.0,0.2
2,0.0021966649553877833,0.0028961986299925534,0.010828,0.006588116052198145,10.84,0.0053276505061269205,0.6327554744525548,0.5009994385176867,0.6495209854014599,0.5008979914649618,90615.8109375,0.9746906714933826,7.378105072265625,0.8249202308866672,0.5126953125,0.9898492834093815,449218.75,1.0,0.20151148944553834
3,0.0023068466369574056,0.021154700971218278,0.010344,0.06790827315342708,10.404,0.06339904102290901,0.6382211538461539,0.5084260355029586,0.6408653846153847,0.4885719246893062,114211.69443359374,0.8074823637136415,7.3706718271484375,1.0,0.8251953125,0.9398765248094133,449218.75,1.0,0.2226986481856372
4,0.004797080048938997,0.4338179670889516,0.004959,0.7501583681743317,5.054,0.7759722962173681,0.7842741935483871,0.70687841191067,0.8122479838709677,0.732630473000385,166187.823828125,0.4391621589440599,7.377177572460937,0.8467662011321513,2.028048828125,0.7475248180335694,1230468.75,0.7278911564625851,0.6282582833206345
5,0.005751817407498064,0.5920300586832452,0.004176,0.8493601925757001,5.152,0.7629195524773574,0.5669642857142857,0.4116043956043956,0.5759486607142857,0.39612682544801214,131359.515625,0.6859671780669885,7.4044870625,0.2035290772027493,4.674046875,0.32439578874566,2539062.5,0.272108843537415,0.6241471302330416
6,0.0023068433425953833,0.021154155053640687,0.010352,0.06689471683770437,10.418,0.06153436334576471,0.7588141025641025,0.672284023668639,0.7689102564102565,0.6709150894252475,134530.68486328126,0.6634952141710843,7.3708265927734375,0.9963547105652367,0.888671875,0.9297258082187947,449218.75,1.0,0.22009263970190907
7,0.0048742399519788315,0.4466043418313932,0.004911,0.7562397060686685,5.022,0.7802344166222696,0.858948087431694,0.8083430012610341,0.8775614754098361,0.825640591876761,166417.95888671876,0.4375313450898287,7.373312555175781,0.93780131745563,2.091792578125,0.737331374734348,1230468.75,0.7278911564625851,0.6334028362176145
8,0.005859857078896703,0.609933602766758,0.00406,0.8640567591536805,5.048,0.7767714437932872,0.7177197802197802,0.6164463229078614,0.7233287545787546,0.6060044437987037,137159.92519531253,0.6448635394241745,7.402082283398438,0.2601703103697481,4.73867912109375,0.31406026352384664,2539062.5,0.272108843537415,0.634951134400866
9,0.005440801904370732,0.540490844440816,0.004427,0.8175598631698974,4.588,0.8380394246137454,0.8811728395061729,0.8385413105413105,0.8898148148148148,0.8430900426385755,177898.82807617186,0.3561740732026868,7.372094774658203,0.9664844468946553,2.406444140625,0.687014553691419,1230468.75,0.7278911564625851,0.6847191060713388
10,0.0066922195630474005,0.7478666252902049,0.00358,0.9248701380970481,4.622,0.8335109216835376,0.7738095238095238,0.6926593406593406,0.7654761904761904,0.6660247846316855,175159.33984375,0.37558700137728157,7.40320149609375,0.23380880914185714,5.06130859375,0.262467672310132,2539062.5,0.272108843537415,0.7033163965342255
11,0.00684114401603754,0.772545296325626,0.003519,0.9325985050044344,3.838,0.9379328716036228,0.9375,0.9150769230769231,0.9434895833333333,0.9195259593679457,199253.7625,0.20484587867473977,7.4131281609375,0.0,6.2518875,0.0720788330261467,3320312.5,0.0,0.6975401604570912
12,0.0054407835787429115,0.540487807651817,0.004439,0.8160395286963131,4.61,0.8351092168353755,0.9108796296296297,0.878905982905983,0.9236111111111112,0.8912178867032141,180560.03896484376,0.3373158444182671,7.372249540283203,0.962839157459892,2.469920703125,0.6768638371008004,1230468.75,0.7278911564625851,0.6817976395872247
13,0.006692202586472139,0.7478638120563283,0.003588,0.9238565817813252,4.636,0.8316462440063932,0.8303571428571429,0.7694945054945056,0.8303571428571429,0.7584189431980466,181624.603125,0.3297719873818415,7.40329626171875,0.2315767364087171,5.12478515625,0.25231695571951346,2539062.5,0.272108843537415,0.7007094811239778
14,0.006994151664488816,0.7979006046461635,0.003467,0.9391866210566325,3.798,0.9432605221097495,0.9579326923076923,0.9428402366863905,0.962139423076923,0.9460843896509809,199211.20615234377,0.20514744716138128,7.410843381835939,0.053814799763752356,6.31651974609375,0.061743307804333195,3320312.5,0.0,0.7079983320526085
15,0.00821372875838943,1.0,0.002987,1.0,3.372,1.0,1.0,1.0,0.99375,0.9910996452757174,224569.879296875,0.02544742343738757,7.41190259453125,0.028866515237484652,6.63914921875,0.010150716590618539,3320312.5,0.0,0.8020301433181237
16,0.008213703184888564,0.999995762146495,0.002995,0.9989864436842772,3.386,0.9981353223228556,1.0,1.0,1.0,1.0,228160.935546875,0.0,7.41199736015625,0.02663444250434459,6.70262578125,0.0,3320312.5,0.0,0.7994226580600245
